Hematopoietic System	LABEL=Tissue	ID=obo.NCIT_C12909
Central Nervous System	LABEL=Tissue	ID=obo.NCIT_C12438
Nervous System Part	LABEL=Tissue	ID=obo.NCIT_C13040
Nervous System	LABEL=Tissue	ID=obo.NCIT_C12755
Brain	LABEL=Tissue	ID=obo.NCIT_C12439
Organ	LABEL=Tissue	ID=obo.NCIT_C13018
Central Nervous System Part	LABEL=Tissue	ID=obo.NCIT_C33966
Lung	LABEL=Tissue	ID=obo.NCIT_C12468
Respiratory System	LABEL=Tissue	ID=obo.NCIT_C12779
Musculoskeletal System	LABEL=Tissue	ID=obo.NCIT_C12754
Organ System	LABEL=Tissue	ID=obo.NCIT_C12919
Skeletal System	LABEL=Tissue	ID=obo.NCIT_C12788
Musculoskeletal System Part	LABEL=Tissue	ID=obo.NCIT_C25769
Hematopoietic and Lymphatic System Part	LABEL=Tissue	ID=obo.NCIT_C41166
Hematopoietic and Lymphatic System	LABEL=Tissue	ID=obo.NCIT_C41165
Breast	LABEL=Tissue	ID=obo.NCIT_C12971
Body Part	LABEL=Tissue	ID=obo.NCIT_C32221
Organ System, Hematologic	LABEL=Tissue	ID=obo.NCIT_C12909	PrefSynonym=Hematopoietic System
Hematologic Organ System	LABEL=Tissue	ID=obo.NCIT_C12909	PrefSynonym=Hematopoietic System
Hematologic Body System	LABEL=Tissue	ID=obo.NCIT_C12909	PrefSynonym=Hematopoietic System
Body System, Hematologic	LABEL=Tissue	ID=obo.NCIT_C12909	PrefSynonym=Hematopoietic System
Hematopoietic System	LABEL=Tissue	ID=obo.NCIT_C12909	PrefSynonym=Hematopoietic System
Hematopoietic Body System	LABEL=Tissue	ID=obo.NCIT_C12909	PrefSynonym=Hematopoietic System
central nervous system	LABEL=Tissue	ID=obo.NCIT_C12438	PrefSynonym=Central Nervous System
CENTRAL NERVOUS SYSTEM	LABEL=Tissue	ID=obo.NCIT_C12438	PrefSynonym=Central Nervous System
Central Nervous System	LABEL=Tissue	ID=obo.NCIT_C12438	PrefSynonym=Central Nervous System
Nervous System, CNS	LABEL=Tissue	ID=obo.NCIT_C12438	PrefSynonym=Central Nervous System
CNS	LABEL=Tissue	ID=obo.NCIT_C12438	PrefSynonym=Central Nervous System
Nervous System Part	LABEL=Tissue	ID=obo.NCIT_C13040	PrefSynonym=Nervous System Part
Neurologic Body System	LABEL=Tissue	ID=obo.NCIT_C12755	PrefSynonym=Nervous System
Neurologic Organ System	LABEL=Tissue	ID=obo.NCIT_C12755	PrefSynonym=Nervous System
Body System, Neurologic	LABEL=Tissue	ID=obo.NCIT_C12755	PrefSynonym=Nervous System
Organ System, Neurologic	LABEL=Tissue	ID=obo.NCIT_C12755	PrefSynonym=Nervous System
Nervous System	LABEL=Tissue	ID=obo.NCIT_C12755	PrefSynonym=Nervous System
nervous system	LABEL=Tissue	ID=obo.NCIT_C12755	PrefSynonym=Nervous System
BRAIN	LABEL=Tissue	ID=obo.NCIT_C12439	PrefSynonym=Brain
Nervous System, Brain	LABEL=Tissue	ID=obo.NCIT_C12439	PrefSynonym=Brain
Brain	LABEL=Tissue	ID=obo.NCIT_C12439	PrefSynonym=Brain
BRAIN	LABEL=Tissue	ID=obo.NCIT_C12439	PrefSynonym=Brain
Nervous System, Brain	LABEL=Tissue	ID=obo.NCIT_C12439	PrefSynonym=Brain
Brain	LABEL=Tissue	ID=obo.NCIT_C12439	PrefSynonym=Brain
organ	LABEL=Tissue	ID=obo.NCIT_C13018	PrefSynonym=Organ
Organ	LABEL=Tissue	ID=obo.NCIT_C13018	PrefSynonym=Organ
Central Nervous System Part	LABEL=Tissue	ID=obo.NCIT_C33966	PrefSynonym=Central Nervous System Part
lung	LABEL=Tissue	ID=obo.NCIT_C12468	PrefSynonym=Lung
Respiratory System, Lung	LABEL=Tissue	ID=obo.NCIT_C12468	PrefSynonym=Lung
Lungs	LABEL=Tissue	ID=obo.NCIT_C12468	PrefSynonym=Lung
Lung	LABEL=Tissue	ID=obo.NCIT_C12468	PrefSynonym=Lung
LUNG	LABEL=Tissue	ID=obo.NCIT_C12468	PrefSynonym=Lung
Pulmonary Body System	LABEL=Tissue	ID=obo.NCIT_C12779	PrefSynonym=Respiratory System
Pulmonary Organ System	LABEL=Tissue	ID=obo.NCIT_C12779	PrefSynonym=Respiratory System
Respiratory System	LABEL=Tissue	ID=obo.NCIT_C12779	PrefSynonym=Respiratory System
Body System, Pulmonary	LABEL=Tissue	ID=obo.NCIT_C12779	PrefSynonym=Respiratory System
respiratory tract	LABEL=Tissue	ID=obo.NCIT_C12779	PrefSynonym=Respiratory System
Organ System, Pulmonary	LABEL=Tissue	ID=obo.NCIT_C12779	PrefSynonym=Respiratory System
respiratory system	LABEL=Tissue	ID=obo.NCIT_C12779	PrefSynonym=Respiratory System
RESPIRATORY SYSTEM	LABEL=Tissue	ID=obo.NCIT_C12779	PrefSynonym=Respiratory System
Musculoskeletal System	LABEL=Tissue	ID=obo.NCIT_C12754	PrefSynonym=Musculoskeletal System
MUSCULOSKELETAL SYSTEM	LABEL=Tissue	ID=obo.NCIT_C12754	PrefSynonym=Musculoskeletal System
Body Systems	LABEL=Tissue	ID=obo.NCIT_C12919	PrefSynonym=Organ System
BODSYS	LABEL=Tissue	ID=obo.NCIT_C12919	PrefSynonym=Organ System
Organ System	LABEL=Tissue	ID=obo.NCIT_C12919	PrefSynonym=Organ System
Skeletal System	LABEL=Tissue	ID=obo.NCIT_C12788	PrefSynonym=Skeletal System
Skeleton	LABEL=Tissue	ID=obo.NCIT_C12788	PrefSynonym=Skeletal System
skeleton	LABEL=Tissue	ID=obo.NCIT_C12788	PrefSynonym=Skeletal System
skeletal	LABEL=Tissue	ID=obo.NCIT_C12788	PrefSynonym=Skeletal System
Musculoskeletal System Part	LABEL=Tissue	ID=obo.NCIT_C25769	PrefSynonym=Musculoskeletal System Part
Hematopoietic and Lymphatic System Part	LABEL=Tissue	ID=obo.NCIT_C41166	PrefSynonym=Hematopoietic and Lymphatic System Part
Hematopoietic and Lymphatic System	LABEL=Tissue	ID=obo.NCIT_C41165	PrefSynonym=Hematopoietic and Lymphatic System
Breast	LABEL=Tissue	ID=obo.NCIT_C12971	PrefSynonym=Breast
Breasts	LABEL=Tissue	ID=obo.NCIT_C12971	PrefSynonym=Breast
breast	LABEL=Tissue	ID=obo.NCIT_C12971	PrefSynonym=Breast
BREAST	LABEL=Tissue	ID=obo.NCIT_C12971	PrefSynonym=Breast
Body Structure	LABEL=Tissue	ID=obo.NCIT_C32221	PrefSynonym=Body Part
Body Part	LABEL=Tissue	ID=obo.NCIT_C32221	PrefSynonym=Body Part
